# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Thu Jul  3 15:25:26 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00072566 -1.33000 9.30103 0.0900000036 1.0816895926    0.090 -3.204  3.4640  5.404    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.21e-17      0.00 7.493e-01 2.499e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 12.779 21.500 16.871 14.780 13.075 12.212
0.00072566 -1.33000 9.30103 0.0901865438 1.0834741573    0.090 -3.199  3.4647  5.403    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.28e-17      0.00 7.493e-01 2.499e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 12.766 21.452 16.840 14.751 13.058 12.200
0.00072566 -1.33000 9.30103 0.0930285975 1.1100834501    0.093 -3.120  3.4760  5.382    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.38e-17      0.00 7.492e-01 2.500e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 12.569 20.735 16.368 14.322 12.799 12.013
0.00072566 -1.33000 9.30103 0.1000000015 1.1711064122    0.100 -2.934  3.5026  5.334    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.96e-17      0.00 7.490e-01 2.502e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 12.105 19.078 15.289 13.362 12.210 11.580
0.00072566 -1.33000 9.30103 0.1200000048 1.3193154741    0.120 -2.649  3.5347  5.257    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-16      0.00 7.487e-01 2.506e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 11.394 17.144 13.949 12.214 11.382 10.899
0.00072566 -1.33000 9.30103 0.1278249919 1.3688045773    0.128 -2.576  3.5412  5.237    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-16      0.00 7.486e-01 2.507e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 11.210 16.745 13.653 11.961 11.178 10.721
0.00072566 -1.33000 9.30103 0.1400000006 1.4384526719    0.140 -2.470  3.5505  5.208    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.84e-16      0.00 7.484e-01 2.509e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 10.945 16.190 13.234 11.607 10.886 10.463
0.00072566 -1.33000 9.30103 0.1599999964 1.5372931554    0.160 -2.334  3.5608  5.172    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.78e-16      0.00 7.481e-01 2.512e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 10.606 15.550 12.736 11.180 10.521 10.132
0.00072566 -1.33000 9.30103 0.2000000179 1.6938791367    0.200 -2.128  3.5746  5.118    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.78e-16      0.00 7.477e-01 2.515e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 10.091 14.662 12.021 10.566 9.974 9.628
0.00072566 -1.33000 9.30103 0.2262381762 1.7759909295    0.226 -2.021  3.5810  5.090    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.17e-16      0.00 7.475e-01 2.518e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 9.823 14.235 11.668 10.258 9.694 9.365
