theTime,MJD,euvalue,sqldataType
2022-06-30 23:59:59.839000,59760.9999981366,-0.0407165129,float
2022-07-01 00:00:00.095000,59761.0000010995,-0.0405226166,float
2022-07-01 00:00:00.351000,59761.0000040625,-0.0405996388,float
2022-07-01 00:00:00.607000,59761.0000070255,-0.0407377849,float
2022-07-01 00:00:00.863000,59761.0000099884,-0.0408511150,float
2022-07-01 00:00:01.119000,59761.0000129514,-0.0412997322,float
2022-07-01 00:00:01.375000,59761.0000159144,-0.0412341872,float
2022-07-01 00:00:01.631000,59761.0000188773,-0.0413981718,float
2022-07-01 00:00:01.887000,59761.0000218403,-0.0414977554,float
2022-07-01 00:00:02.143000,59761.0000248032,-0.0414350635,float
2022-07-01 00:00:02.399000,59761.0000277662,-0.0409149816,float
2022-07-01 00:00:02.655000,59761.0000307292,-0.0409130750,float
2022-07-01 00:00:02.911000,59761.0000336921,-0.0411454839,float
2022-07-01 00:00:03.167000,59761.0000366551,-0.0410301808,float
2022-07-01 00:00:03.423000,59761.0000396181,-0.0412270036,float
2022-07-01 00:00:03.679000,59761.0000425810,-0.0412774790,float
2022-07-01 00:00:03.935000,59761.0000455440,-0.0413708610,float
2022-07-01 00:00:04.191000,59761.0000485069,-0.0416134512,float
2022-07-01 00:00:04.447000,59761.0000514699,-0.0417607050,float
2022-07-01 00:00:04.703000,59761.0000544329,-0.0417822664,float
2022-07-01 00:00:04.959000,59761.0000573958,-0.0420968260,float
2022-07-01 00:00:05.215000,59761.0000603588,-0.0419047567,float
2022-07-01 00:00:05.471000,59761.0000633218,-0.0417772117,float
2022-07-01 00:00:05.727000,59761.0000662847,-0.0421112241,float
2022-07-01 00:00:05.983000,59761.0000692477,-0.0419613601,float
2022-07-01 00:00:06.239000,59761.0000722106,-0.0421722175,float
2022-07-01 00:00:06.495000,59761.0000751736,-0.0426798896,float
2022-07-01 00:00:06.751000,59761.0000781366,-0.0430050350,float
2022-07-01 00:00:07.007000,59761.0000810995,-0.0431086713,float
2022-07-01 00:00:07.263000,59761.0000840625,-0.0432422532,float
2022-07-01 00:00:07.519000,59761.0000870255,-0.0430077552,float
2022-07-01 00:00:07.775000,59761.0000899884,-0.0427515452,float
2022-07-01 00:00:08.031000,59761.0000929514,-0.0418040393,float
2022-07-01 00:00:08.287000,59761.0000959144,-0.0410917021,float
2022-07-01 00:00:08.543000,59761.0000988773,-0.0401831188,float
2022-07-01 00:00:08.799000,59761.0001018403,-0.0401184157,float
2022-07-01 00:00:09.055000,59761.0001048032,-0.0399834398,float
2022-07-01 00:00:09.311000,59761.0001077662,-0.0394294390,float
2022-07-01 00:00:09.567000,59761.0001107292,-0.0391584118,float
2022-07-01 00:00:09.823000,59761.0001136921,-0.0387884148,float
2022-07-01 00:00:10.079000,59761.0001166551,-0.0385679565,float
2022-07-01 00:00:10.335000,59761.0001196181,-0.0376462368,float
2022-07-01 00:00:10.591000,59761.0001225810,-0.0368060380,float
2022-07-01 00:00:10.847000,59761.0001255440,-0.0361560681,float
2022-07-01 00:00:11.103000,59761.0001285069,-0.0357530968,float
2022-07-01 00:00:11.359000,59761.0001314699,-0.0351240995,float
