theTime,MJD,euvalue,sqldataType
2022-06-30 23:59:59.839000,59760.9999981366,0.1516603906,float
2022-07-01 00:00:00.095000,59761.0000010995,0.1507610351,float
2022-07-01 00:00:00.351000,59761.0000040625,0.1503120308,float
2022-07-01 00:00:00.607000,59761.0000070255,0.1497589334,float
2022-07-01 00:00:00.863000,59761.0000099884,0.1487983657,float
2022-07-01 00:00:01.119000,59761.0000129514,0.1479626768,float
2022-07-01 00:00:01.375000,59761.0000159144,0.1475003716,float
2022-07-01 00:00:01.631000,59761.0000188773,0.1467172303,float
2022-07-01 00:00:01.887000,59761.0000218403,0.1467024616,float
2022-07-01 00:00:02.143000,59761.0000248032,0.1466501232,float
2022-07-01 00:00:02.399000,59761.0000277662,0.1459755756,float
2022-07-01 00:00:02.655000,59761.0000307292,0.1453962779,float
2022-07-01 00:00:02.911000,59761.0000336921,0.1452103239,float
2022-07-01 00:00:03.167000,59761.0000366551,0.1450624139,float
2022-07-01 00:00:03.423000,59761.0000396181,0.1445396689,float
2022-07-01 00:00:03.679000,59761.0000425810,0.1439745366,float
2022-07-01 00:00:03.935000,59761.0000455440,0.1433361201,float
2022-07-01 00:00:04.191000,59761.0000485069,0.1428689617,float
2022-07-01 00:00:04.447000,59761.0000514699,0.1422514718,float
2022-07-01 00:00:04.703000,59761.0000544329,0.1418135805,float
2022-07-01 00:00:04.959000,59761.0000573958,0.1410885921,float
2022-07-01 00:00:05.215000,59761.0000603588,0.1403284858,float
2022-07-01 00:00:05.471000,59761.0000633218,0.1402009469,float
2022-07-01 00:00:05.727000,59761.0000662847,0.1396798518,float
2022-07-01 00:00:05.983000,59761.0000692477,0.1393996425,float
2022-07-01 00:00:06.239000,59761.0000722106,0.1393984020,float
2022-07-01 00:00:06.495000,59761.0000751736,0.1390303133,float
2022-07-01 00:00:06.751000,59761.0000781366,0.1386039594,float
2022-07-01 00:00:07.007000,59761.0000810995,0.1383809997,float
2022-07-01 00:00:07.263000,59761.0000840625,0.1377622285,float
2022-07-01 00:00:07.519000,59761.0000870255,0.1367943403,float
2022-07-01 00:00:07.775000,59761.0000899884,0.1361234273,float
2022-07-01 00:00:08.031000,59761.0000929514,0.1352034503,float
2022-07-01 00:00:08.287000,59761.0000959144,0.1339380016,float
2022-07-01 00:00:08.543000,59761.0000988773,0.1323878553,float
2022-07-01 00:00:08.799000,59761.0001018403,0.1307685539,float
2022-07-01 00:00:09.055000,59761.0001048032,0.1291773680,float
2022-07-01 00:00:09.311000,59761.0001077662,0.1279241279,float
2022-07-01 00:00:09.567000,59761.0001107292,0.1275017777,float
2022-07-01 00:00:09.823000,59761.0001136921,0.1267067921,float
2022-07-01 00:00:10.079000,59761.0001166551,0.1266256709,float
2022-07-01 00:00:10.335000,59761.0001196181,0.1254769743,float
2022-07-01 00:00:10.591000,59761.0001225810,0.1244931260,float
2022-07-01 00:00:10.847000,59761.0001255440,0.1231203836,float
2022-07-01 00:00:11.103000,59761.0001285069,0.1219506041,float
2022-07-01 00:00:11.359000,59761.0001314699,0.1202891654,float
2022-07-01 00:00:11.615000,59761.0001344329,0.1191481682,float
2022-07-01 00:00:11.871000,59761.0001373958,0.1187843956,float
2022-07-01 00:00:12.127000,59761.0001403588,0.1184932475,float
2022-07-01 00:00:12.383000,59761.0001433218,0.1177205256,float
2022-07-01 00:00:12.639000,59761.0001462847,0.1171394697,float
2022-07-01 00:00:12.895000,59761.0001492477,0.1170934218,float
2022-07-01 00:00:13.151000,59761.0001522106,0.1165598707,float
2022-07-01 00:00:13.407000,59761.0001551736,0.1161244277,float
2022-07-01 00:00:13.663000,59761.0001581366,0.1154819352,float
2022-07-01 00:00:13.919000,59761.0001610995,0.1146526419,float
2022-07-01 00:00:14.175000,59761.0001640625,0.1145231943,float
2022-07-01 00:00:14.431000,59761.0001670255,0.1139834329,float
2022-07-01 00:00:14.687000,59761.0001699884,0.1135666580,float
2022-07-01 00:00:14.943000,59761.0001729514,0.1129065141,float
2022-07-01 00:00:15.199000,59761.0001759143,0.1125786469,float
2022-07-01 00:00:15.455000,59761.0001788773,0.1120999013,float
2022-07-01 00:00:15.711000,59761.0001818403,0.1114829533,float
2022-07-01 00:00:15.967000,59761.0001848032,0.1107410072,float
2022-07-01 00:00:16.223000,59761.0001877662,0.1104526601,float
2022-07-01 00:00:16.479000,59761.0001907292,0.1100592063,float
2022-07-01 00:00:16.735000,59761.0001936921,0.1096221014,float
2022-07-01 00:00:16.991000,59761.0001966551,0.1093755277,float
2022-07-01 00:00:17.247000,59761.0001996181,0.1089098607,float
2022-07-01 00:00:17.503000,59761.0002025810,0.1088665418,float
